
Date Star   Avg Days
--------- ----------
02-JUN-99         25
08-JUN-99         25
09-JUN-99         25
10-JUN-99         25
11-JUN-99         25
16-JUN-99         25
18-JUN-99         25
24-JUN-99         25
07-JUL-99         25
08-JUL-99         25
09-JUL-99         24
12-JUL-99         24
02-AUG-99         24
23-AUG-99         23
26-AUG-99         23
27-AUG-99         23
30-AUG-99         23
02-SEP-99         23
07-SEP-99         23
16-SEP-99         23
21-SEP-99         23
28-SEP-99         23
01-OCT-99         23
05-OCT-99         23
06-OCT-99         23
11-OCT-99         23
13-OCT-99         23
14-OCT-99         23
18-OCT-99         23
19-OCT-99         23
21-OCT-99         23
22-OCT-99         23
27-OCT-99         23
28-OCT-99         23
03-NOV-99         23
04-NOV-99         23
05-NOV-99         23
06-NOV-99         23
08-NOV-99         23
09-NOV-99         23
10-NOV-99         23
11-NOV-99         23
12-NOV-99         23
15-NOV-99         23
16-NOV-99         23
18-NOV-99         23
19-NOV-99         23
22-NOV-99         22
23-NOV-99         22
24-NOV-99         22
29-NOV-99         22
01-DEC-99         22
02-DEC-99         22
03-DEC-99         22
06-DEC-99         22
07-DEC-99         22
08-DEC-99         22
09-DEC-99         22
13-DEC-99         22
14-DEC-99         22
17-DEC-99         22
20-DEC-99         21
21-DEC-99         21
22-DEC-99         21
06-JAN-00         19
10-JAN-00         19
11-JAN-00         19
14-JAN-00         19
19-JAN-00         19
20-JAN-00         19
24-JAN-00         19
25-JAN-00         19
26-JAN-00         19
27-JAN-00         19
28-JAN-00         19
29-JAN-00         19
31-JAN-00         19
01-FEB-00         19
03-FEB-00         19
04-FEB-00         19
07-FEB-00         19
08-FEB-00         19
10-FEB-00         19
11-FEB-00         19
14-FEB-00         19
15-FEB-00         19
17-FEB-00         19
18-FEB-00         19
21-FEB-00         18
22-FEB-00         18
23-FEB-00         18
24-FEB-00         18
25-FEB-00         18
28-FEB-00         18
29-FEB-00         18
01-MAR-00         18
02-MAR-00         18
03-MAR-00         18
06-MAR-00         18
07-MAR-00         18
09-MAR-00         18
10-MAR-00         18
13-MAR-00         18
14-MAR-00         18
15-MAR-00         18
16-MAR-00         18
17-MAR-00         18
22-MAR-00         18
23-MAR-00         18
24-MAR-00         18
27-MAR-00         18
28-MAR-00         18
31-MAR-00         18
03-APR-00         17
04-APR-00         17
05-APR-00         17
06-APR-00         17
07-APR-00         17
11-APR-00         17
12-APR-00         17
13-APR-00         17
14-APR-00         17
17-APR-00         17
18-APR-00         17
19-APR-00         17
20-APR-00         17
21-APR-00         17
24-APR-00         17
25-APR-00         17
26-APR-00         17
27-APR-00         17
28-APR-00         17
03-MAY-00         17
04-MAY-00         17
05-MAY-00         17
08-MAY-00         17
10-MAY-00         17
11-MAY-00         17
12-MAY-00         17
16-MAY-00         16
17-MAY-00         16
18-MAY-00         16
19-MAY-00         16
22-MAY-00         16
23-MAY-00         16
24-MAY-00         17
26-MAY-00         17
30-MAY-00         17
31-MAY-00         17
02-JUN-00         17
04-JUN-00         17
05-JUN-00         17
06-JUN-00         17
12-JUN-00         17
13-JUN-00         17
14-JUN-00         17
19-JUN-00         16
20-JUN-00         16
21-JUN-00         16
22-JUN-00         16
26-JUN-00         17
27-JUN-00         17
30-JUN-00         16
06-JUL-00         15
10-JUL-00         15
11-JUL-00         15
12-JUL-00         15
13-JUL-00         14
14-JUL-00         14
17-JUL-00         14
18-JUL-00         14
19-JUL-00         14
20-JUL-00         14
21-JUL-00         14
24-JUL-00         12
26-JUL-00         12
27-JUL-00         12
28-JUL-00         12
31-JUL-00         11
01-AUG-00         11
02-AUG-00         11
03-AUG-00         11
04-AUG-00         11
07-AUG-00         11
08-AUG-00         11
09-AUG-00         11
10-AUG-00         11
11-AUG-00         11
17-AUG-00         10
18-AUG-00         10
21-AUG-00         10
22-AUG-00         10
23-AUG-00         10
24-AUG-00         10
25-AUG-00         10
28-AUG-00         10
29-AUG-00         10
31-AUG-00         10
05-SEP-00         10
06-SEP-00         10
07-SEP-00         10
08-SEP-00         10
12-SEP-00         10
13-SEP-00         10
14-SEP-00         10
15-SEP-00         10
18-SEP-00         10
19-SEP-00         10
20-SEP-00         10
21-SEP-00         10
25-SEP-00         10
26-SEP-00         10
28-SEP-00         10
29-SEP-00         10
02-OCT-00         10
03-OCT-00         10
04-OCT-00         10
05-OCT-00         10
09-OCT-00         10
10-OCT-00         10
12-OCT-00          9
14-OCT-00         10
16-OCT-00         10
18-OCT-00         10
19-OCT-00          9
20-OCT-00          9
23-OCT-00          9
25-OCT-00          9
27-OCT-00          9
30-OCT-00          9
31-OCT-00          9
01-NOV-00          9
02-NOV-00          9
03-NOV-00          9
06-NOV-00          9
07-NOV-00          9
08-NOV-00          9
09-NOV-00          9
10-NOV-00          9
13-NOV-00          9
14-NOV-00          9
20-NOV-00          9
22-NOV-00          9
29-NOV-00          9
30-NOV-00          9
01-DEC-00         10
04-DEC-00         10
05-DEC-00         10
06-DEC-00         10
07-DEC-00         10
08-DEC-00         10
11-DEC-00         10
13-DEC-00         10
14-DEC-00         10
18-DEC-00          9
19-DEC-00          9
21-DEC-00          9
29-DEC-00          9
03-JAN-01          8
04-JAN-01          8
05-JAN-01          8
08-JAN-01          7
09-JAN-01          7
10-JAN-01          6
11-JAN-01          6
12-JAN-01          6
16-JAN-01          5
17-JAN-01          5
18-JAN-01          5
19-JAN-01          5
22-JAN-01          5
23-JAN-01          5
24-JAN-01          5
25-JAN-01          5
26-JAN-01          5
29-JAN-01          4
30-JAN-01          4
31-JAN-01          4
01-FEB-01          4
02-FEB-01          4
05-FEB-01          3
06-FEB-01          3

282 rows selected.

