
Month       Requests
--------- ----------
30-JUN-99         10
31-JUL-99          6
31-AUG-99          8
30-SEP-99         10
31-OCT-99         19
30-NOV-99         42
31-DEC-99         41
31-JAN-00         35
29-FEB-00         52
31-MAR-00         47
30-APR-00         53
31-MAY-00         35
30-JUN-00         33
31-JUL-00         25
31-AUG-00         52
30-SEP-00         43
31-OCT-00         49
30-NOV-00         30
31-DEC-00         24
31-JAN-01         88
28-FEB-01         50

21 rows selected.

